County,Price(€),NotFullMarketPrice,VATExclusive,DescriptionofProperty,SaleYear,SaleMonth,Region
Wexford,62500.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,NON_DUBLIN
Cork,150000.0,Yes,No,Second-Hand Dwelling house /Apartment,2016,12,NON_DUBLIN
Wexford,94000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,NON_DUBLIN
Leitrim,149500.0,No,Yes,New Dwelling house /Apartment,2016,2,NON_DUBLIN
Mayo,170000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,NON_DUBLIN
Galway,50000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,NON_DUBLIN
Dublin,15000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,DUBLIN14
Waterford,160000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,NON_DUBLIN
Kilkenny,320000.0,No,Yes,New Dwelling house /Apartment,2016,12,NON_DUBLIN
Dublin,225000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,DUBLIN_OTHER
Wexford,539999.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,NON_DUBLIN
Limerick,262370.0,No,Yes,New Dwelling house /Apartment,2016,10,NON_DUBLIN
Dublin,260000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,DUBLIN13
Dublin,225000.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,DUBLIN15
Louth,188546.0,No,Yes,New Dwelling house /Apartment,2016,6,NON_DUBLIN
Dublin,50000.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,DUBLIN_OTHER
Dublin,290000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,DUBLIN13
Dublin,222026.0,No,Yes,New Dwelling house /Apartment,2016,8,DUBLIN_OTHER
Carlow,122000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,NON_DUBLIN
Kerry,65000.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,NON_DUBLIN
Cork,558127.75,No,Yes,New Dwelling house /Apartment,2016,3,NON_DUBLIN
Wicklow,339207.05,No,Yes,New Dwelling house /Apartment,2016,9,NON_DUBLIN
Cork,250000.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,NON_DUBLIN
Waterford,212000.0,No,No,Second-Hand Dwelling house /Apartment,2016,2,NON_DUBLIN
Wexford,39500.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,NON_DUBLIN
Kildare,151000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,NON_DUBLIN
Meath,249339.0,No,Yes,New Dwelling house /Apartment,2016,7,NON_DUBLIN
Wexford,60000.0,No,Yes,New Dwelling house /Apartment,2016,12,NON_DUBLIN
Dublin,422907.48,No,Yes,New Dwelling house /Apartment,2016,11,DUBLIN_OTHER
Wexford,100372.21,No,No,New Dwelling house /Apartment,2016,5,NON_DUBLIN
Louth,30000.0,Yes,No,Second-Hand Dwelling house /Apartment,2016,6,NON_DUBLIN
Kildare,174052.0,No,Yes,New Dwelling house /Apartment,2016,9,NON_DUBLIN
Kildare,330396.0,No,Yes,New Dwelling house /Apartment,2016,12,NON_DUBLIN
Laois,255000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,NON_DUBLIN
Dublin,560000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,DUBLIN_OTHER
Donegal,83385.6,No,No,Second-Hand Dwelling house /Apartment,2016,6,NON_DUBLIN
Cork,380000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,NON_DUBLIN
Dublin,385000.0,No,Yes,New Dwelling house /Apartment,2016,7,DUBLIN_OTHER
Mayo,120000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,NON_DUBLIN
Kildare,180000.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,NON_DUBLIN
Dublin,173000.0,No,No,Second-Hand Dwelling house /Apartment,2016,2,DUBLIN_OTHER
Dublin,583000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,DUBLIN4
Dublin,382000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,DUBLIN20
Cork,400000.0,No,No,Second-Hand Dwelling house /Apartment,2016,1,NON_DUBLIN
Tipperary,136000.0,No,No,Second-Hand Dwelling house /Apartment,2016,1,NON_DUBLIN
Waterford,190000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,NON_DUBLIN
Dublin,490000.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,DUBLIN_OTHER
Dublin,430000.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,DUBLIN5
Waterford,190000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,NON_DUBLIN
Clare,160000.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,NON_DUBLIN
Dublin,216000.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,DUBLIN15
Sligo,65580.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,NON_DUBLIN
Sligo,35242.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,NON_DUBLIN
Laois,45000.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,NON_DUBLIN
Dublin,155000.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,DUBLIN8
Dublin,350000.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,DUBLIN16
Tipperary,115000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,NON_DUBLIN
Galway,329000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,NON_DUBLIN
Kerry,127500.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,NON_DUBLIN
Cork,190000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,NON_DUBLIN
Dublin,320000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,DUBLIN15
Tipperary,80000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,NON_DUBLIN
Longford,138000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,NON_DUBLIN
Roscommon,57000.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,NON_DUBLIN
Dublin,187000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,DUBLIN_OTHER
Dublin,235000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,DUBLIN15
Mayo,35000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,NON_DUBLIN
Carlow,137000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,NON_DUBLIN
Kerry,60000.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,NON_DUBLIN
Dublin,615500.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,DUBLIN_OTHER
Donegal,60000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,NON_DUBLIN
Dublin,245000.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,DUBLIN_OTHER
Kildare,179000.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,NON_DUBLIN
Cork,50152.49,No,Yes,New Dwelling house /Apartment,2016,12,NON_DUBLIN
Clare,220000.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,NON_DUBLIN
Mayo,82000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,NON_DUBLIN
Cork,261000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,NON_DUBLIN
Dublin,265000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,DUBLIN_OTHER
Cork,280000.0,No,No,Second-Hand Dwelling house /Apartment,2016,6,NON_DUBLIN
Longford,550000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,NON_DUBLIN
Louth,154185.02,No,Yes,New Dwelling house /Apartment,2016,1,NON_DUBLIN
Dublin,500000.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,DUBLIN3
Limerick,41694.44,No,No,Second-Hand Dwelling house /Apartment,2016,3,NON_DUBLIN
Sligo,60000.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,NON_DUBLIN
Cork,185022.0,No,Yes,New Dwelling house /Apartment,2016,5,NON_DUBLIN
Galway,172000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,NON_DUBLIN
Dublin,220000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,DUBLIN3
Dublin,200000.0,No,No,Second-Hand Dwelling house /Apartment,2016,3,DUBLIN_OTHER
Cork,47000.0,Yes,No,Second-Hand Dwelling house /Apartment,2016,3,NON_DUBLIN
Wicklow,260000.0,No,No,Second-Hand Dwelling house /Apartment,2016,7,NON_DUBLIN
Cork,183000.0,No,Yes,New Dwelling house /Apartment,2016,11,NON_DUBLIN
Cork,356000.0,No,No,Second-Hand Dwelling house /Apartment,2016,8,NON_DUBLIN
Donegal,25000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,NON_DUBLIN
Dublin,415000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,DUBLIN_OTHER
Cork,30000.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,NON_DUBLIN
Wexford,86000.0,No,No,Second-Hand Dwelling house /Apartment,2016,1,NON_DUBLIN
Louth,222466.0,No,Yes,New Dwelling house /Apartment,2016,2,NON_DUBLIN
Dublin,275000.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,DUBLIN_OTHER
Dublin,285000.0,No,Yes,New Dwelling house /Apartment,2016,7,DUBLIN_OTHER
Limerick,221233.0,No,Yes,New Dwelling house /Apartment,2016,12,NON_DUBLIN
Dublin,675500.0,No,Yes,New Dwelling house /Apartment,2016,7,DUBLIN_OTHER
Westmeath,196000.0,No,No,Second-Hand Dwelling house /Apartment,2016,5,NON_DUBLIN
Dublin,305000.0,No,No,Second-Hand Dwelling house /Apartment,2016,10,DUBLIN7
Dublin,675500.0,No,No,Second-Hand Dwelling house /Apartment,2016,12,DUBLIN_OTHER
Limerick,237004.0,No,Yes,New Dwelling house /Apartment,2016,10,NON_DUBLIN
Limerick,182000.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,NON_DUBLIN
Wicklow,360000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,NON_DUBLIN
Kildare,396475.77,No,Yes,New Dwelling house /Apartment,2016,10,NON_DUBLIN
Laois,145000.0,No,No,Second-Hand Dwelling house /Apartment,2016,9,NON_DUBLIN
Dublin,545000.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,DUBLIN_OTHER
Dublin,170000.0,No,No,Second-Hand Dwelling house /Apartment,2016,4,DUBLIN22
Clare,185000.0,No,No,Second-Hand Dwelling house /Apartment,2016,11,NON_DUBLIN
