County,Price(€),NotFullMarketPrice,VATExclusive,DescriptionofProperty,log_price,SaleYear,SaleMonth,Region,YearMonth,SaleMonthIndex,Region_Encoded
Wexford,62500.0,0,0,0,11.042937835596494,2016,7,Wexford,201607,7,11.66416800178687
Cork,150000.0,1,0,0,11.918397239722838,2016,12,Cork,201612,12,12.000150643676768
Wexford,94000.0,0,0,0,11.451060699493429,2016,8,Wexford,201608,8,11.66416800178687
Leitrim,149500.0,0,1,1,11.91505836075372,2016,2,Leitrim,201602,2,11.056810921982729
Mayo,170000.0,0,0,0,12.04355959836804,2016,10,Mayo,201610,10,11.290023168381925
Galway,50000.0,0,0,0,10.819798284210286,2016,12,Galway,201612,12,11.821055771589778
Kildare,160000.0,0,0,0,11.982935344196433,2016,12,Kildare,201612,12,12.288557581795198
Dublin,15000.0,0,0,0,9.61587214452889,2016,10,DUBLIN14,201610,10,13.078096057323352
Waterford,160000.0,0,0,0,11.982935344196433,2016,8,Waterford,201608,8,11.642599181212411
Kilkenny,320000.0,0,1,1,12.676079399771028,2016,12,Kilkenny,201612,12,11.886321369253947
Roscommon,118889.0,0,1,1,11.685953974852591,2016,5,Roscommon,201605,5,11.220952494221892
Dublin,225000.0,0,0,0,12.323860125621126,2016,5,DUBLIN_OTHER,201605,5,12.705570117352767
Wexford,539999.0,0,0,0,13.199324418540456,2016,8,Wexford,201608,8,11.66416800178687
Limerick,262370.0,0,1,1,12.477514811651792,2016,10,Limerick,201610,10,11.598075862329463
Dublin,260000.0,0,0,0,12.468440756144114,2016,12,DUBLIN13,201612,12,12.693510377709934
Dublin,225000.0,0,0,0,12.323860125621126,2016,6,DUBLIN15,201606,6,12.471420697210595
Louth,188546.0,0,1,1,12.147102591660955,2016,6,Louth,201606,6,11.72411722774131
Dublin,50000.0,0,0,0,10.819798284210286,2016,3,DUBLIN_OTHER,201603,3,12.705570117352767
Dublin,290000.0,0,0,0,12.577639650232571,2016,8,DUBLIN13,201608,8,12.693510377709934
Dublin,222026.0,0,1,1,12.310554275080728,2016,8,DUBLIN_OTHER,201608,8,12.705570117352767
Donegal,30500.0,0,0,0,10.32551474894327,2016,8,Donegal,201608,8,11.375411297981437
Carlow,122000.0,0,0,0,11.711784520403112,2016,8,Carlow,201608,8,11.633534130659713
Kerry,65000.0,0,0,0,11.082157933374816,2016,7,Kerry,201607,7,11.703319087828566
Cork,558127.75,0,1,1,13.2323449495153,2016,3,Cork,201603,3,12.000150643676768
Wicklow,339207.05,0,1,1,12.7343689149296,2016,9,Wicklow,201609,9,12.52870619122338
Cork,250000.0,0,0,0,12.429220196836384,2016,3,Cork,201603,3,12.000150643676768
Waterford,212000.0,0,0,0,12.264346270624156,2016,2,Waterford,201602,2,11.642599181212411
Wexford,39500.0,0,0,0,10.584081267024454,2016,5,Wexford,201605,5,11.66416800178687
Kildare,151000.0,0,0,0,11.92504173829169,2016,5,Kildare,201605,5,12.288557581795198
Meath,249339.0,0,1,1,12.426572705898966,2016,7,Meath,201607,7,12.181119578595398
Wexford,60000.0,0,1,1,11.002116507732016,2016,12,Wexford,201612,12,11.66416800178687
Dublin,422907.48,0,1,1,12.954911075281297,2016,11,DUBLIN_OTHER,201611,11,12.705570117352767
Wexford,100372.21,0,0,1,11.516650617964272,2016,5,Wexford,201605,5,11.66416800178687
Louth,30000.0,1,0,0,10.308985993422082,2016,6,Louth,201606,6,11.72411722774131
Kildare,174052.0,0,1,1,12.067115129517354,2016,9,Kildare,201609,9,12.288557581795198
Kildare,330396.0,0,1,1,12.70805024068459,2016,12,Kildare,201612,12,12.288557581795198
Laois,255000.0,0,0,0,12.449022745701502,2016,11,Laois,201611,11,11.602198135075064
Dublin,560000.0,0,0,0,13.235693848424024,2016,10,DUBLIN_OTHER,201610,10,12.705570117352767
Donegal,83385.6,0,0,0,11.331242903974966,2016,6,Donegal,201606,6,11.375411297981437
Cork,380000.0,0,0,0,12.847929163278051,2016,12,Cork,201612,12,12.000150643676768
Dublin,385000.0,0,1,1,12.861001210669146,2016,7,DUBLIN_OTHER,201607,7,12.705570117352767
Mayo,120000.0,0,0,0,11.695255355062796,2016,11,Mayo,201611,11,11.290023168381925
Kildare,180000.0,0,0,0,12.100717685412471,2016,4,Kildare,201604,4,12.288557581795198
Dublin,173000.0,0,0,0,12.06105265381003,2016,2,DUBLIN_OTHER,201602,2,12.705570117352767
Dublin,583000.0,0,0,0,13.275944180597024,2016,11,DUBLIN4,201611,11,13.159839350701308
Dublin,382000.0,0,0,0,12.853178505386332,2016,9,DUBLIN20,201609,9,12.24027664893672
Cork,400000.0,0,0,0,12.899222326086994,2016,1,Cork,201601,1,12.000150643676768
Tipperary,136000.0,0,0,0,11.820417517632333,2016,1,Tipperary,201601,1,11.563686685039686
Waterford,190000.0,0,0,0,12.154784614286667,2016,8,Waterford,201608,8,11.642599181212411
Dublin,490000.0,0,0,0,13.102162710901052,2016,6,DUBLIN_OTHER,201606,6,12.705570117352767
Dublin,430000.0,0,0,0,12.971542813248435,2016,7,DUBLIN5,201607,7,12.520378122958158
Waterford,190000.0,0,0,0,12.154784614286667,2016,11,Waterford,201611,11,11.642599181212411
Clare,160000.0,0,0,0,11.982935344196433,2016,3,Clare,201603,3,11.657350873570417
Dublin,216000.0,0,0,0,12.283038316285214,2016,4,DUBLIN15,201604,4,12.471420697210595
Sligo,65580.0,0,0,0,11.091041298833767,2016,7,Sligo,201607,7,11.28796474804477
Sligo,35242.0,0,0,0,10.470022206960202,2016,4,Sligo,201604,4,11.28796474804477
Laois,45000.0,0,0,0,10.714439990727769,2016,7,Laois,201607,7,11.602198135075064
Dublin,155000.0,0,0,0,11.951186847493476,2016,3,DUBLIN8,201603,3,12.288495919308591
Dublin,350000.0,0,0,0,12.765691290604371,2016,3,DUBLIN16,201603,3,12.69024601766621
Tipperary,115000.0,0,0,0,11.652696102959752,2016,11,Tipperary,201611,11,11.563686685039686
Galway,329000.0,0,0,0,12.703816069256568,2016,11,Galway,201611,11,11.821055771589778
Kerry,127500.0,0,0,0,11.755879486687116,2016,9,Kerry,201609,9,11.703319087828566
Cork,190000.0,0,0,0,12.154784614286667,2016,9,Cork,201609,9,12.000150643676768
Dublin,320000.0,0,0,0,12.676079399771028,2016,12,DUBLIN15,201612,12,12.471420697210595
Dublin,371000.0,0,0,0,12.82396003700373,2016,6,DUBLIN2,201606,6,12.625593792335566
Tipperary,80000.0,0,0,0,11.289794413577894,2016,9,Tipperary,201609,9,11.563686685039686
Longford,138000.0,0,0,0,11.8350162104899,2016,9,Longford,201609,9,11.268449106543393
Roscommon,57000.0,0,0,0,10.950824090522444,2016,6,Roscommon,201606,6,11.220952494221892
Dublin,187000.0,0,0,0,12.138869243416009,2016,9,DUBLIN_OTHER,201609,9,12.705570117352767
Meath,100000.0,0,0,0,11.51293546492023,2016,7,Meath,201607,7,12.181119578595398
Dublin,235000.0,0,0,0,12.367345048436391,2016,12,DUBLIN15,201612,12,12.471420697210595
Mayo,35000.0,0,0,0,10.463131911491969,2016,8,Mayo,201608,8,11.290023168381925
Carlow,137000.0,0,0,0,11.827743504053696,2016,12,Carlow,201612,12,11.633534130659713
Kerry,60000.0,0,0,0,11.002116507732016,2016,3,Kerry,201603,3,11.703319087828566
Dublin,615500.0,0,0,0,13.330191849300697,2016,5,DUBLIN_OTHER,201605,5,12.705570117352767
Donegal,60000.0,0,0,0,11.002116507732016,2016,5,Donegal,201605,5,11.375411297981437
Dublin,245000.0,0,0,0,12.409017571151187,2016,3,DUBLIN_OTHER,201603,3,12.705570117352767
