Price(€),NotFullMarketPrice,VATExclusive,DescriptionofProperty,SaleYear,SaleMonthIndex,Region_Encoded
62500.0,0,0,0,2016,7,140133.58445454546
150000.0,1,0,0,2016,12,198460.38056851312
94000.0,0,0,0,2016,8,140133.58445454546
149500.0,0,1,1,2016,2,78111.70800000001
170000.0,0,0,0,2016,10,101768.53846153847
50000.0,0,0,0,2016,12,169894.25173144878
15000.0,0,0,0,2016,10,486409.44936170214
160000.0,0,0,0,2016,8,139912.4143478261
320000.0,0,1,1,2016,12,178090.23692307694
225000.0,0,0,0,2016,5,357260.4677191011
539999.0,0,0,0,2016,8,140133.58445454546
262370.0,0,1,1,2016,10,138927.53039408868
260000.0,0,0,0,2016,12,350585.13441860466
225000.0,0,0,0,2016,6,289405.2858490566
188546.0,0,1,1,2016,6,147549.79817567568
50000.0,0,0,0,2016,3,357260.4677191011
290000.0,0,0,0,2016,8,350585.13441860466
222026.0,0,1,1,2016,8,357260.4677191011
122000.0,0,0,0,2016,8,129100.70456140352
65000.0,0,0,0,2016,7,149517.2112804878
558127.75,0,1,1,2016,3,198460.38056851312
339207.05,0,1,1,2016,9,302309.9607878788
250000.0,0,0,0,2016,3,198460.38056851312
212000.0,0,0,0,2016,2,139912.4143478261
39500.0,0,0,0,2016,5,140133.58445454546
151000.0,0,0,0,2016,5,247009.80948717947
249339.0,0,1,1,2016,7,221569.53396135266
60000.0,0,1,1,2016,12,140133.58445454546
422907.48,0,1,1,2016,11,357260.4677191011
100372.21,0,0,1,2016,5,140133.58445454546
30000.0,1,0,0,2016,6,147549.79817567568
174052.0,0,1,1,2016,9,247009.80948717947
330396.0,0,1,1,2016,12,247009.80948717947
255000.0,0,0,0,2016,11,124480.02530612245
560000.0,0,0,0,2016,10,357260.4677191011
83385.6,0,0,0,2016,6,106261.99716666665
380000.0,0,0,0,2016,12,198460.38056851312
385000.0,0,1,1,2016,7,357260.4677191011
120000.0,0,0,0,2016,11,101768.53846153847
180000.0,0,0,0,2016,4,247009.80948717947
173000.0,0,0,0,2016,2,357260.4677191011
583000.0,0,0,0,2016,11,471697.3477272727
382000.0,0,0,0,2016,9,225084.1875
400000.0,0,0,0,2016,1,198460.38056851312
136000.0,0,0,0,2016,1,142117.9899404762
190000.0,0,0,0,2016,8,139912.4143478261
