Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
04/07/2016,"9 AL UISCE, ENNISCORTHY, CO WEXFORD",Wexford,,"€62,500.00",No,No,Second-Hand Dwelling house /Apartment,
21/12/2016,"2 BEECHVILLE, THE LOUTH, CORK",Cork,,"€150,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
23/08/2016,"75 BELLEFIELD RD, ENNISCORTHY, WEXFORD",Wexford,,"€94,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/02/2016,"No. 6, St. Caillins View, Fenagh",Leitrim,,"€149,500.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
07/10/2016,"NO7 GRATTAN PARK, CONVENT RD, CLAREMORRIS",Mayo,,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/12/2016,"MAUMEEN, LETTERMORE, COUNTY GALWAY",Galway,,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/12/2016,"60 COLLEGEWOOD MANOR, CLANE, KILDARE",Kildare,,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/10/2016,"10 MILLMOUNT TERRACE, DUNDRUM RD, MILLTOWN DUBLIN 14",Dublin,,"€15,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/08/2016,"29 CLODAGH RD, AVONDALE, WATERFORD",Waterford,,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/12/2016,"8 The Schoolyard, Castlecomer Road, Kilkenny",Kilkenny,,"€320,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
09/05/2016,"houses  13  15  24  27 and 28, the maples, tulsk road",Roscommon,,"€118,889.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
18/05/2016,"18 BEECHFIELD HAVEN, CORBAWN LANE, SHANKILL",Dublin,,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/08/2016,"1 RONEY BEACH, RONEY POINT, GOREY",Wexford,,"€539,999.00",No,No,Second-Hand Dwelling house /Apartment,
17/10/2016,"156, Kylemore School House Road",Limerick,,"€262,370.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
19/12/2016,"10 TEMPLEVIEW AVE, CLARE HALL, DUBLIN 13",Dublin,,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/06/2016,"101 FERNLEIGH DR, CARPENTERSTOWN, CASTLEKNOCK DUBLIN 15",Dublin,,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/06/2016,"50 Stamanaran, Old Golf Links Road, Blackrock",Louth,,"€188,546.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
24/03/2016,"KILN HOUSE, KILSALLAGHAN, DUBLIN",Dublin,,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/08/2016,"20 TUSCANY PARK, BALDOYLE, DUBLIN 13",Dublin,,"€290,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/08/2016,"2 CASTLELAND PARK WAY, BALBRIGGAN, CO DUBLIN",Dublin,,"€222,026.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
12/08/2016,"45 WESTSIDE APARTMENTS, LETTERKENNY, CO DONEGAL",Donegal,,"€30,500.00",No,No,Second-Hand Dwelling house /Apartment,
17/08/2016,"15 INIS GARDENS LEIGHLINBRIDGE, LEIGHLINBRIDGE, CARLOW",Carlow,,"€122,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/07/2016,"8 CURRAGH CLOSE, BALLYBUNION RD, LISTOWEL",Kerry,,"€65,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/03/2016,"14 HORSEHEAD, PASSAGE WEST, CORK",Cork,,"€558,127.75",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
12/09/2016,"88 Seagreen Park, Chapel Road, Black Lion",Wicklow,,"€339,207.05",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
08/03/2016,"CLOUD LEA, COOLENAUGH, NEWCESTOWN",Cork,,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/02/2016,"KNOCKHOUSE, GRACEDIEU, WATERFORD",Waterford,,"€212,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/05/2016,"13 KING STREET, WEXFORD",Wexford,,"€39,500.00",No,No,Second-Hand Dwelling house /Apartment,
04/05/2016,"46 HUNTERS WOOD, OSBERSTOWN, NAAS",Kildare,,"€151,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/07/2016,"16 MILLBOURNE CLOSE, SLANE ROAD, ASHBOURNE",Meath,,"€249,339.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
16/12/2016,"Monachee, Ramsgrange, New Ross",Wexford,,"€60,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
23/11/2016,"12 Sion Hill Park, Sion Hill Road, Drumcondra",Dublin,,"€422,907.48",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
31/05/2016,"2 RATHOE, RAMSGRANGE, WEXFORD",Wexford,,"€100,372.21",No,No,New Dwelling house /Apartment,greater than or equal to 125 sq metres
28/06/2016,"20 FATIMA PARK, DUNDALK, LOUTH",Louth,,"€30,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
14/09/2016,"37 Ferns Green, Ferns Bridge, Monasterevin",Kildare,,"€174,052.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
09/12/2016,"47 Landen Park, Oldtown Demesne, Naas",Kildare,,"€330,396.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
01/11/2016,"SLEATY ROAD, GRAIGUECULLEN, CO LAOIS",Laois,,"€255,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/10/2016,"25 ST BEGNETS VILLAS, DALKEY, DUBLIN",Dublin,,"€560,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/06/2016,"5 HATTERSLEY PK, CHURCHTOWN, CARNDONAGH",Donegal,,"€83,385.60",No,No,Second-Hand Dwelling house /Apartment,
13/12/2016,"ROCKBORO LODGE, BALLYBRACK, CARRIGNAVAR",Cork,,"€380,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/07/2016,"12n Windmill Close, Rathcoole",Dublin,,"€385,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
09/11/2016,"74 ABBEY COURT KILLALA RD, BALLINA, CO MAYO",Mayo,,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/04/2016,"941 ST PATRICKS PARK, CELBRIDGE, KILDARE",Kildare,,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/02/2016,"4 NEWHAVEN RISE, FLEMINGTON LANE, BALBRIGGAN",Dublin,,"€173,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/11/2016,"167 THE SWEEPSTAKES, BALLSBRIDGE, DUBLIN 4",Dublin,,"€583,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/09/2016,"18 RIVERSDALE AVE, PALMERSTOWN, DUBLIN 20",Dublin,,"€382,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/01/2016,"MIDLETON HOUSE, MIDLETON, CO CORK",Cork,,"€400,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/01/2016,"BALLYSHEEDY, ANNACARTY, TIPPERARY",Tipperary,,"€136,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/08/2016,"31A THE STRAND, SOMERVILLE, TRAMORE",Waterford,,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/06/2016,"6 FRASCATI COURT, BLACKROCK, DUBLIN",Dublin,,"€490,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/07/2016,"83 ST ASSAMS AVE, RAHENY, DUBLIN 5",Dublin,,"€430,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/11/2016,"122 MONVOY VALLEY, TRAMORE, WATERFORD",Waterford,,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/03/2016,"7 ROS MIN, TULLYCARRAGA, CLARE",Clare,,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/04/2016,"12 OAKVIEW CLOSE, CLONSILLA, DUBLIN 15",Dublin,,"€216,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/07/2016,"9 ABBEY HOUSE, ABBEY ST LOWER, SLIGO",Sligo,,"€65,580.00",No,No,Second-Hand Dwelling house /Apartment,
20/04/2016,"15 SONAS VILLAGE, ENNISCRONE, CO SLIGO",Sligo,,"€35,242.00",No,No,Second-Hand Dwelling house /Apartment,
18/07/2016,"ERRILL VILLAGE, ERRILL, LAOIS",Laois,,"€45,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/03/2016,"APT 102 NEWMARKET SQ, WARDS HILL, DUBLIN 8",Dublin,,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/03/2016,"50 OWENDOHER LODGE, BALLYBODEN RD, RATHFARNHAM DUBLIN 16",Dublin,,"€350,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/11/2016,"16 CRANN ARD, FETHARD RD, CLONMEL",Tipperary,,"€115,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/11/2016,"44 NEW RD, GALWAY",Galway,,"€329,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/09/2016,"28 CAHERANNE VILLAGE, BALLYVELLY, TRALEE",Kerry,,"€127,500.00",No,No,Second-Hand Dwelling house /Apartment,
25/09/2016,"22 BLACKROCK MEWS, EDEN, BLACKROCK",Cork,,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/12/2016,"15 FAICHE NAOMH MOCHTA, CLUAIN SAILEACH, B A C 15 DUBLIN 15",Dublin,,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/06/2016,"APT 1 45 SOUTH RICHMOND ST, DUBLIN 2",Dublin,,"€371,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/09/2016,"1 BRIDGE VIEW, BRIDGE ST, CARRICK ON SUIR",Tipperary,,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/09/2016,"10 DRUID GLEN, WHITE LINEN WOOD, LONGFORD",Longford,,"€138,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/06/2016,"ST RONANS PARK, ARIGNA, CO. ROSCOMMON",Roscommon,,"€57,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/09/2016,"100 FANCOURT HEIGHTS, BALBRIGGAN, DUBLIN",Dublin,,"€187,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/07/2016,"APT 1, 14 HAGGARD ST, TRIM",Meath,,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/12/2016,"5 ANNAGH COURT, WATERVILLE, DUBLIN 15",Dublin,,"€235,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/08/2016,"BALLINGRAN, BALLA, CO MAYO",Mayo,,"€35,000.00",No,No,Second-Hand Dwelling house /Apartment,
